,Country,Code,Year,Cardiovascular diseases (%),Cancers (%),Respiratory diseases (%),Diabetes (%),Dementia (%),Lower respiratory infections (%),Neonatal deaths (%),Diarrheal diseases (%),Road incidents (%),Liver disease (%),Tuberculosis (%),Kidney disease (%),Digestive diseases (%),HIV/AIDS (%),Suicide (%),Malaria (%),Homicide (%),Nutritional deficiencies (%),Meningitis (%),Protein-energy malnutrition (%),Drowning (%),Maternal deaths (%),Parkinson disease (%),Alcohol disorders (%),Intestinal infectious diseases (%),Drug disorders (%),Hepatitis (%),Fire (%),Heat-related (hot and cold exposure) (%),Natural disasters (%),Conflict (%),Terrorism (%),Diabetes mellitus (%),Other (%),HDI
10,Afghanistan,AFG,2000,20.430235417063773,4.721891890119784,2.6316795029990505,4.41436713589,0.8385080130999709,11.904361708055804,11.083130890565037,4.847863024530163,2.8950109002307878,0.6578313461102738,1.999569811683816,1.2994775638189568,1.7306544711141896,0.03520964300333626,0.4388682664607509,0.3463367613569631,0.9240902097777272,0.8249331378724221,3.6580447343181866,0.7920509743608415,0.8358134108648113,1.4713411808488006,0.13934852164045292,0.034314113327596346,0.144419595127,0.05691369569741325,0.4091209015411697,0.17153349741213514,0.050206711550374164,0.0,2.167,0.014240526000000003,1.5033100237191517,16.528322419839256,
11,Afghanistan,AFG,2001,20.753450687016525,4.853242651694195,2.6708150878699133,4.49541462178,0.8583924336190161,11.543037953515196,11.254480574308793,4.592196783848731,2.8694031762044148,0.6634795224659202,1.9756706543980431,1.3121183683262323,1.7453428886539168,0.03591544272865368,0.4505940897428127,0.3601197840099263,0.9465193825268804,0.7762750059728217,3.586494268004797,0.7438424460239358,0.8172564422787505,1.5022188737132092,0.14320072401952505,0.03414601837839104,0.140701753181,0.060294718823315836,0.4064004197575543,0.16984428100133647,0.17560766987371396,0.0015159697059908205,2.2230000000000003,0.065844633,1.569228995774336,16.20393367778216,
12,Afghanistan,AFG,2002,21.60729780968918,5.15042849004036,2.774286019136876,4.6742839836000005,0.905318208089222,11.398080301783047,11.171586912045068,4.480080393669934,3.010572457500684,0.694372500693175,2.0180015703528933,1.367992755043957,1.8220964876141283,0.043802866847777885,0.4880605532980386,0.3747968498425689,1.1441256754756304,0.7659239337380801,3.2864536096249157,0.7321995904309605,0.8320243237479682,1.6812732572972944,0.15113057097565094,0.03580483343915289,0.14165450057700002,0.06663860839891439,0.4174312106698634,0.17651851427121704,0.05545410412794118,0.5077863476250106,0.416,0.029176287,1.6780813681334796,15.901265105220006,0.373
13,Afghanistan,AFG,2003,21.425906909424235,5.308487384199825,2.7729965119191773,4.975246091640001,0.9088337727339582,12.98709631253187,12.471787328180197,5.238915401061235,3.240591043302992,0.7240391527718438,2.121058976434908,1.4264873986041582,1.9014172094869348,0.044366904851029336,0.5066571842194815,0.4532353015670267,1.2482728478978966,0.8647126831634935,3.8756439430728977,0.8249420310905909,1.0191786088018566,1.7833083921599335,0.15147722958404247,0.0360850672655194,0.172625170744,0.0702442700660294,0.43903401365038397,0.19995168162176272,0.061680566481010835,0.05364636385521968,0.29600000000000004,0.063710212,1.7189098709110686,10.613454164705416,0.383
14,Afghanistan,AFG,2004,21.677462674431773,5.497846279745941,2.8091174217736232,5.19296781886,0.9356718345611632,13.420018978996149,12.190470547470227,5.3882337428674205,3.3305365619446774,0.7499679831469278,2.177019432872692,1.480545942140404,1.963867516099279,0.04922690284021417,0.5237092318585329,0.44775919392711055,1.187155956555335,0.910276362059812,4.081673692677464,0.8679229763963139,1.0900892449657986,1.8227722028271909,0.1553385360292558,0.0368651755603149,0.183842655689,0.07422825285093139,0.449829867867115,0.21015163466390246,0.06473743494119058,0.007155545863261152,0.204,0.109115321,1.788416579958925,8.922006496558069,0.398
15,Afghanistan,AFG,2005,21.667814015330123,5.598684842443856,2.800942760073553,5.321184769459999,0.9532734729239164,13.058825392410558,12.292577306444233,5.103301609265504,3.3765136606276505,0.7621089037696773,2.127033064168838,1.4900716820349424,1.9813149913026185,0.05314057352885072,0.5409256173625548,0.4576216194452263,1.2142566571604352,0.8688935670554567,4.014715893804011,0.8269575742249944,1.0897403598945776,1.9177989898412464,0.15745299277777516,0.03770423118945458,0.18045874716,0.07815713401334089,0.4453188851118913,0.21126713837700925,0.07470572857867218,0.22422087782146446,0.5,0.14641248199999998,1.8353276631607849,8.591276797236787,0.408
16,Afghanistan,AFG,2006,21.501707754715003,5.63656730994428,2.7736532510164547,5.41687444936,0.9654714644780522,12.520840429054706,12.287528276638042,4.662891056418607,3.301028656225536,0.7641421479145089,2.0382572805868637,1.4877797559176562,1.974238069683449,0.05320096515476329,0.5453373253517722,0.4713379862062288,1.225329507962008,0.8354363924457259,3.873384966476538,0.7955465167046551,1.0377725927177637,1.8883977296235543,0.15841948611133855,0.037910989434948576,0.173502219705,0.08079196752114576,0.43184012758332696,0.20486004492106846,0.06513406504606398,0.15246552398114904,1.561,0.291536813,1.852866722772857,8.932948155326926,0.417
17,Afghanistan,AFG,2007,21.860335014360967,5.819206097843832,2.8163347025528243,5.543885069219999,1.0046792177485149,11.874364577426569,11.630467246530525,4.2360620244799705,3.3045782347960286,0.7877178567796513,1.98432889760546,1.5173257409181204,2.009836220087119,0.05912837305587727,0.5624327406743196,0.4563730632034035,1.2358457713143012,0.7931580659864385,3.726219687913604,0.7546552601807489,1.017679967368728,1.9608451231464288,0.16374137410958592,0.03921066610181912,0.168524377636,0.08554589315264174,0.4287919439740051,0.20336607540267712,0.06563264664715487,0.12111123378100633,2.129,0.489668307,1.9151737751993936,9.234774753802284,0.429
18,Afghanistan,AFG,2008,22.32317442651311,6.012251903904711,2.8659555179494536,5.745216987,1.0447815283971271,11.132951091930726,11.804073765264885,3.7630536356547246,3.3569751196845,0.8076831931220703,1.918239876482758,1.5409466842996524,2.0382593949592995,0.06421095738367645,0.5896118666570479,0.4685014188738117,1.2838086306217549,0.7386060519433815,3.5074396416605933,0.7031942082345504,0.9527932554100134,2.033265799833021,0.1692793633273986,0.04111098313711143,0.161854648696,0.0919460085343268,0.4235447575103388,0.19896471851174288,0.06547591749538431,0.0,1.5,0.456505973,1.9851585705108872,10.211164103495946,0.4370000000000001
19,Afghanistan,AFG,2009,22.4592183393928,6.123052402172598,2.8712741587634487,5.88453913372,1.0756623785445183,10.503455431975373,11.818118029537795,3.389462279232337,3.3341933527259635,0.8177152456565776,1.8325040079077148,1.5509669977593812,2.043721188127936,0.06742587354162348,0.6046840720704741,0.4651557244792973,1.3002291621293618,0.6982676892257629,3.100678175674936,0.6644783657370591,0.8827074521511787,2.037316349764395,0.17308699885383366,0.0424205521142333,0.15413918196999998,0.09700371541077134,0.4147434882418879,0.19276681288470124,0.06433698426027099,0.04287873056462836,2.031,0.451121266,2.0258201347657505,10.78585632464339,0.453
